Lactation_ID,Generic_Name,Lactation_Risk,Recommendation,Clinical_Notes,Evidence_Level,Primary_Reference,Status,created_at,updated_at,version
LAC000001,Paracetamol,Compatible,Continue,Compatible with breastfeeding when used at recommended doses.,High,BNF,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000002,Metformin,Compatible,Continue,Compatible during breastfeeding with minimal transfer into breast milk.,High,SmPC,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000003,Aspirin,Use with Caution,Consult Doctor,Low-dose aspirin may be used in selected cases under medical supervision.,Moderate,BNF,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000004,Ramipril,Use with Caution,Consult Doctor,Limited human data are available and alternative medicines may be preferred for newborn infants.,Moderate,SmPC,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000005,Pantoprazole,Compatible,Continue,Minimal transfer into breast milk and generally considered acceptable.,Moderate,SmPC,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000006,Atorvastatin,Contraindicated,Avoid,Statins are generally not recommended during breastfeeding.,High,FDA Label,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000007,Amlodipine,Compatible,Continue,Small amounts are present in breast milk and it is generally considered acceptable.,Moderate,SmPC,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000008,Amoxicillin,Compatible,Continue,Widely considered compatible with breastfeeding.,High,BNF,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000009,Cefixime,Compatible,Continue,Compatible with breastfeeding although infant monitoring is advisable.,Moderate,SmPC,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000010,Pregabalin,Use with Caution,Monitor Infant,Monitor the breastfed infant for excessive drowsiness and poor feeding.,Moderate,FDA Label,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000011,Aceclofenac + Paracetamol,Use with Caution,Consult Doctor,Short-term use may be acceptable under medical supervision.,Moderate,BNF,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000012,Chlorzoxazone + Diclofenac + Paracetamol,Use with Caution,Consult Doctor,Limited safety data are available during breastfeeding.,Low,SmPC,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
LAC000013,Telmisartan + Amlodipine,Contraindicated,Avoid,Alternative antihypertensive medicines are generally preferred during breastfeeding.,Moderate,FDA Label,Active,2026-07-11 16:26:52.636463,2026-07-11 16:26:52.636463,1.0
