Pregnancy_ID,Generic_Name,Pregnancy_Risk,Trimester,Recommendation,Clinical_Notes,Evidence_Level,Primary_Reference,Status,created_at,updated_at,version
PRG000001,Paracetamol,Safe,All,Continue,Preferred analgesic and antipyretic during pregnancy when used at the lowest effective dose for the shortest duration.,High,SmPC,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000002,Metformin,Use with Caution,All,Monitor,May be used during pregnancy when clinically indicated especially in women with diabetes under medical supervision.,High,SmPC,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000003,Aspirin,Use with Caution,First and Second,Consult Doctor,Low-dose aspirin may be prescribed for specific obstetric indications but routine use requires medical supervision.,High,BNF,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000004,Ramipril,Contraindicated,All,Avoid,ACE inhibitors should not be used during pregnancy because of risk of serious fetal harm especially after the first trimester.,High,FDA Label,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000005,Pantoprazole,Use with Caution,All,Consult Doctor,May be considered if clinically indicated when benefits outweigh potential risks.,Moderate,SmPC,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000006,Atorvastatin,Contraindicated,All,Avoid,Statins should be discontinued during pregnancy because they may affect fetal development.,High,FDA Label,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000007,Amlodipine,Use with Caution,All,Consult Doctor,Use only if the expected maternal benefit outweighs potential fetal risk.,Moderate,SmPC,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000008,Amoxicillin,Safe,All,Continue,Widely used during pregnancy when clinically indicated and generally considered safe.,High,BNF,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000009,Cefixime,Use with Caution,All,Consult Doctor,Use when clinically indicated under medical supervision as human data are limited.,Moderate,SmPC,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000010,Pregabalin,Contraindicated,All,Avoid,Avoid during pregnancy unless no safer alternative exists because fetal risk cannot be excluded.,High,FDA Label,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000011,Aceclofenac + Paracetamol,Contraindicated,Third,Avoid,NSAID-containing combinations should be avoided during the third trimester because of fetal cardiovascular and renal risks.,High,BNF,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000012,Chlorzoxazone + Diclofenac + Paracetamol,Contraindicated,Third,Avoid,Avoid during pregnancy particularly in the third trimester because of NSAID exposure and limited safety data for chlorzoxazone.,High,SmPC,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
PRG000013,Telmisartan + Amlodipine,Contraindicated,All,Avoid,Telmisartan is contraindicated during pregnancy because of fetal toxicity associated with renin-angiotensin system blockade.,High,FDA Label,Active,2026-07-11 16:21:40.498830,2026-07-11 16:21:40.498830,1.0
